time,open,high,low,close
2021-06-04T02:00:00-04:00,13502.25,13527,13492.5,13516.25
2021-06-04T03:00:00-04:00,13516.75,13545.75,13505,13526.25
2021-06-04T04:00:00-04:00,13525.75,13546.5,13518.5,13524.5
2021-06-04T05:00:00-04:00,13525.75,13542.5,13520.5,13537
2021-06-04T06:00:00-04:00,13537,13541,13500,13534.75
2021-06-04T07:00:00-04:00,13535,13557.25,13535,13556.5
2021-06-04T08:00:00-04:00,13556.5,13608,13526.75,13598.25
2021-06-04T09:00:00-04:00,13598.25,13704.75,13592.5,13698.25
2021-06-04T10:00:00-04:00,13698.75,13756.25,13698.75,13735.5
2021-06-04T11:00:00-04:00,13735.5,13769.5,13730.75,13756
2021-06-04T12:00:00-04:00,13756.25,13767.5,13746.5,13760.25
2021-06-04T13:00:00-04:00,13760.25,13778,13754,13774.75
2021-06-04T14:00:00-04:00,13774.75,13783.75,13771.25,13775
2021-06-04T15:00:00-04:00,13775,13783.5,13756.25,13766.5
2021-06-04T16:00:00-04:00,13766.75,13769.25,13756.25,13763.25
2021-06-06T18:00:00-04:00,13773.25,13784.75,13768,13774.25
2021-06-06T19:00:00-04:00,13774.25,13777.75,13766,13767.5
2021-06-06T20:00:00-04:00,13766.75,13768.25,13741.5,13749.5
2021-06-06T21:00:00-04:00,13749.75,13753,13733,13736.75
2021-06-06T22:00:00-04:00,13736.5,13751.25,13733.5,13744
2021-06-06T23:00:00-04:00,13743.5,13755,13741.25,13746.25
2021-06-07T00:00:00-04:00,13746.75,13751,13740.5,13744.25
2021-06-07T01:00:00-04:00,13744.75,13748.25,13730.25,13736
2021-06-07T02:00:00-04:00,13736.75,13746,13732.5,13741.75
2021-06-07T03:00:00-04:00,13741.5,13747,13710.25,13729.25
2021-06-07T04:00:00-04:00,13729,13733.25,13706.5,13730.75
2021-06-07T05:00:00-04:00,13730.75,13731.75,13691.5,13707
2021-06-07T06:00:00-04:00,13707,13723,13701.25,13711.5
2021-06-07T07:00:00-04:00,13711.25,13759.75,13711,13752.5
2021-06-07T08:00:00-04:00,13752.25,13769.25,13742.25,13758.75
2021-06-07T09:00:00-04:00,13758.5,13764.5,13720.75,13755
2021-06-07T10:00:00-04:00,13754.75,13757.25,13712.5,13752.25
2021-06-07T11:00:00-04:00,13752.25,13753.5,13717,13740.5
2021-06-07T12:00:00-04:00,13740.5,13764.25,13740,13758
2021-06-07T13:00:00-04:00,13758,13766,13732.75,13739
2021-06-07T14:00:00-04:00,13739,13785.75,13737.75,13778.25
2021-06-07T15:00:00-04:00,13778.25,13808.5,13776,13802.5
2021-06-07T16:00:00-04:00,13802.5,13824,13801,13822.75
2021-06-07T18:00:00-04:00,13823,13826.25,13812,13814.5
2021-06-07T19:00:00-04:00,13814,13834.5,13814,13822.25
2021-06-07T20:00:00-04:00,13822.75,13846.25,13820,13844.75
2021-06-07T21:00:00-04:00,13845,13865.5,13843.75,13853
2021-06-07T22:00:00-04:00,13854,13857.75,13829.5,13834
2021-06-07T23:00:00-04:00,13834,13841,13826,13834.25
2021-06-08T00:00:00-04:00,13834.25,13838.5,13829.25,13837.75
2021-06-08T01:00:00-04:00,13838,13839.75,13819,13820
2021-06-08T02:00:00-04:00,13820.75,13836.75,13819.5,13825.5
