Time,Open,High,Low,Close,Volume
2023-08-15 05:00:00,15142.739,15152.299,15090.609,15114.849,60,3416
2023-08-15 06:00:00,15114.689,15130.539,15091.339,15101.359,60,3422
2023-08-15 07:00:00,15102.269,15134.599,15083.299,15114.079,60,3372
2023-08-15 08:00:00,15114.359,15191.549,15108.939,15115.079,60,3411
2023-08-15 09:00:00,15115.959,15115.959,15043.629,15070.799,60,1421
2023-08-15 10:00:00,15070.749,15131.659,15070.749,15130.599,60,1404
2023-08-15 11:00:00,15130.879,15143.199,15083.529,15096.319,60,1401
2023-08-15 12:00:00,15096.759,15119.599,15072.839,15091.039,60,1402
2023-08-15 13:00:00,15091.087,15111.579,15074.359,15096.619,60,1415
2023-08-15 14:00:00,15097.099,15099.109,15011.739,15040.279,60,1404
2023-08-15 15:00:00,15040.239,15051.609,15032.049,15046.009,15,1396
2023-08-15 17:00:00,15048.109,15054.269,15040.729,15047.179,60,3450
2023-08-15 18:00:00,15047.089,15059.609,15045.559,15053.247,60,3372
2023-08-15 19:00:00,15053.249,15055.279,15014.119,15040.109,60,3396
2023-08-15 20:00:00,15040.349,15066.789,15033.799,15049.109,60,3402
2023-08-15 21:00:00,15049.229,15058.989,15036.589,15051.009,60,3388
2023-08-15 22:00:00,15051.187,15065.409,15050.249,15052.809,60,3439
2023-08-15 23:00:00,15053.219,15056.499,15030.259,15041.579,60,3386
2023-08-16 00:00:00,15041.719,15052.799,15033.899,15041.629,60,3421
2023-08-16 01:00:00,15041.809,15052.079,15023.119,15047.819,60,3396
2023-08-16 02:00:00,15048.047,15085.399,15043.069,15073.107,60,3419
2023-08-16 03:00:00,15073.129,15096.609,15072.129,15079.669,60,3396
2023-08-16 04:00:00,15079.677,15083.289,15035.159,15049.819,60,3377
2023-08-16 05:00:00,15049.837,15059.799,15037.719,15041.609,60,3389
2023-08-16 06:00:00,15040.509,15046.409,15008.719,15041.599,60,3405
2023-08-16 07:00:00,15041.567,15049.999,14996.259,14999.639,60,3365
2023-08-16 08:00:00,14999.697,15060.999,14985.269,15035.029,60,3412
2023-08-16 09:00:00,15034.739,15077.149,15004.549,15060.619,60,1443
2023-08-16 10:00:00,15060.339,15074.219,14967.099,14977.789,60,1363
2023-08-16 11:00:00,14978.099,14991.289,14939.839,14948.689,60,1357
2023-08-16 12:00:00,14948.849,14999.079,14920.849,14980.759,60,1367
2023-08-16 13:00:00,14981.099,15019.669,14917.759,14964.579,60,1347
2023-08-16 14:00:00,14964.309,14964.309,14871.719,14872.629,60,1355
2023-08-16 15:00:00,14872.689,14881.809,14865.709,14875.079,15,1343
2023-08-16 17:00:00,14873.049,14883.399,14869.659,14870.899,60,3424
2023-08-16 18:00:00,14870.877,14873.289,14857.419,14861.149,60,3354
2023-08-16 19:00:00,14861.419,14862.589,14831.079,14845.849,60,3355
2023-08-16 20:00:00,14845.949,14852.409,14819.069,14852.169,60,3362
2023-08-16 21:00:00,14852.339,14868.699,14846.859,14865.149,60,3356
2023-08-16 22:00:00,14864.899,14878.969,14861.939,14877.929,60,3372
2023-08-16 23:00:00,14878.339,14882.099,14871.519,14872.579,60,3379
2023-08-17 00:00:00,14872.609,14874.589,14836.559,14855.179,60,3359
2023-08-17 01:00:00,14855.147,14891.619,14852.949,14887.199,60,3347
2023-08-17 02:00:00,14887.339,14903.699,14865.459,14883.709,60,3348
2023-08-17 03:00:00,14883.829,14912.679,14877.549,14893.079,60,3367
2023-08-17 04:00:00,14892.859,14909.829,14888.559,14906.289,60,3374
2023-08-17 05:00:00,14906.189,14914.489,14887.439,14892.099,60,3371
2023-08-17 06:00:00,14891.479,14917.609,14883.939,14915.639,60,3372
2023-08-17 07:00:00,14915.899,14948.889,14904.309,14941.419,60,3358
2023-08-17 08:00:00,14941.499,14945.189,14849.439,14870.099,60,3370
2023-08-17 09:00:00,14869.847,14884.599,14797.119,14830.099,60,1344
2023-08-17 10:00:00,14830.009,14848.459,14798.989,14845.879,60,1345
2023-08-17 11:00:00,14845.939,14893.109,14815.699,14892.439,60,1338
2023-08-17 12:00:00,14893.369,14897.399,14800.849,14818.809,60,1347
2023-08-17 13:00:00,14819.099,14822.859,14740.609,14753.049,60,1359
2023-08-17 14:00:00,14752.139,14762.689,14695.059,14711.679,60,1361
2023-08-17 15:00:00,14712.019,14715.699,14703.879,14709.059,15,1352
2023-08-17 17:00:00,14691.169,14697.499,14670.169,14683.119,60,3426
2023-08-17 18:00:00,14683.499,14701.899,14683.299,14693.119,60,3364
2023-08-17 19:00:00,14692.869,14713.999,14679.869,14710.509,60,3350
2023-08-17 20:00:00,14711.409,14728.699,14705.689,14721.949,60,3368
2023-08-17 21:00:00,14722.769,14729.589,14698.829,14707.219,60,3371
2023-08-17 22:00:00,14707.279,14711.899,14686.109,14700.199,60,3391
2023-08-17 23:00:00,14700.159,14708.919,14695.419,14701.989,60,3374
2023-08-18 00:00:00,14702.319,14703.219,14679.839,14696.499,60,3390
2023-08-18 01:00:00,14696.419,14712.709,14693.319,14703.939,60,3368
2023-08-18 02:00:00,14704.239,14714.699,14662.949,14681.829,60,3347
2023-08-18 03:00:00,14681.959,14702.409,14676.419,14692.459,60,3359
2023-08-18 04:00:00,14692.417,14697.719,14656.429,14670.239,60,3352
2023-08-18 05:00:00,14670.019,14681.699,14644.129,14650.909,60,3345
2023-08-18 06:00:00,14650.989,14655.959,14579.919,14598.789,60,3375
2023-08-18 07:00:00,14599.639,14613.099,14568.649,14587.699,60,3361
2023-08-18 08:00:00,14587.209,14635.769,14558.659,14581.219,60,3374
2023-08-18 09:00:00,14581.149,14642.699,14549.089,14624.249,60,1323
2023-08-18 10:00:00,14624.209,14684.769,14591.639,14679.539,60,1347
2023-08-18 11:00:00,14679.109,14694.389,14647.539,14657.309,60,1352
2023-08-18 12:00:00,14657.389,14677.419,14610.519,14673.289,60,1351
2023-08-18 13:00:00,14673.297,14722.099,14658.239,14692.269,60,1363
2023-08-18 14:00:00,14692.267,14745.769,14666.239,14693.679,60,1340
2023-08-18 15:00:00,14693.709,14713.659,14689.099,14698.889,15,1371
2023-08-21 00:00:00,14695.207,14705.199,14669.579,14672.079,60,3362
2023-08-21 01:00:00,14672.219,14688.319,14662.709,14680.109,60,3364
2023-08-21 02:00:00,14680.309,14759.089,14679.429,14756.319,60,3357
2023-08-21 03:00:00,14756.389,14776.989,14751.049,14773.569,60,3341
2023-08-21 04:00:00,14773.389,14786.289,14769.059,14781.279,60,3356
2023-08-21 05:00:00,14781.099,14789.487,14762.719,14768.949,60,3334
2023-08-21 06:00:00,14769.009,14795.499,14764.469,14792.919,60,3360
2023-08-21 07:00:00,14793.699,14800.389,14755.969,14756.979,60,3379
2023-08-21 08:00:00,14757.209,14858.499,14737.279,14858.259,60,3354
2023-08-21 09:00:00,14859.069,14877.999,14768.229,14777.769,60,1347
2023-08-21 10:00:00,14777.999,14803.289,14735.909,14756.779,60,1351
2023-08-21 11:00:00,14755.909,14851.489,14753.529,14848.507,60,1350
2023-08-21 12:00:00,14848.399,14910.689,14832.509,14891.699,60,1361
2023-08-21 13:00:00,14891.989,14940.269,14886.219,14927.499,60,1342
2023-08-21 14:00:00,14927.409,14960.449,14926.549,14934.959,60,1348
2023-08-21 15:00:00,14933.979,14933.979,14910.419,14914.819,15,1356
2023-08-21 17:00:00,14921.229,14921.499,14901.219,14905.799,60,3418
2023-08-21 18:00:00,14905.777,14920.099,14896.889,14900.719,60,3363
2023-08-21 19:00:00,14900.809,14911.809,14889.249,14909.039,60,3371
2023-08-21 20:00:00,14909.289,14922.849,14893.439,14912.089,60,3370
2023-08-21 21:00:00,14912.249,14928.779,14908.339,14920.739,60,3360
2023-08-21 22:00:00,14920.777,14929.779,14916.839,14919.819,60,3372
2023-08-21 23:00:00,14919.939,14921.499,14906.329,14907.569,60,3372
2023-08-22 00:00:00,14907.709,14917.319,14899.269,14915.559,60,3350
2023-08-22 01:00:00,14916.339,14948.799,14911.799,14945.269,60,3361
2023-08-22 02:00:00,14945.609,14994.299,14943.109,14986.609,60,3351
2023-08-22 03:00:00,14989.959,15009.699,14988.259,15002.009,60,3330
2023-08-22 04:00:00,15003.449,15020.199,14989.069,15013.729,60,3373
2023-08-22 05:00:00,15013.449,15025.499,15006.329,15011.999,60,3349
2023-08-22 06:00:00,15011.569,15052.589,15000.529,15044.509,60,3373
2023-08-22 07:00:00,15044.749,15064.009,15032.589,15033.219,60,3366
2023-08-22 08:00:00,15032.429,15043.489,14945.839,14952.279,60,3359
2023-08-22 09:00:00,14952.719,15005.099,14917.759,14995.749,60,1345
2023-08-22 10:00:00,14997.289,15003.389,14920.739,14932.569,60,1361
2023-08-22 11:00:00,14932.569,14945.799,14882.169,14922.519,60,1378
2023-08-22 12:00:00,14922.089,14929.789,14880.549,14907.239,60,1359
2023-08-22 13:00:00,14906.539,14938.399,14887.669,14922.819,60,1357
2023-08-22 14:00:00,14922.717,14958.609,14881.029,14908.369,60,1362
2023-08-22 15:00:00,14909.329,14916.489,14905.839,14911.867,15,1357
2023-08-22 17:00:00,14912.429,14927.499,14911.919,14917.749,60,3443
2023-08-22 18:00:00,14917.867,14920.899,14905.279,14911.499,60,3384
2023-08-22 19:00:00,14911.349,14942.809,14907.859,14942.519,60,3375
2023-08-22 20:00:00,14942.487,14967.999,14937.429,14961.109,60,3369
2023-08-22 21:00:00,14961.789,14975.389,14953.539,14961.009,60,3359
2023-08-22 22:00:00,14960.967,14964.199,14949.269,14958.069,60,3376
2023-08-22 23:00:00,14958.499,14963.419,14950.919,14959.349,60,3386
2023-08-23 00:00:00,14959.469,14980.859,14955.549,14976.909,60,3375
2023-08-23 01:00:00,14976.739,14986.789,14965.429,14975.539,60,3384
2023-08-23 02:00:00,14975.999,15015.599,14973.859,14999.109,60,3364
2023-08-23 03:00:00,14999.269,15029.759,14995.859,15011.819,60,3373
2023-08-23 04:00:00,15012.439,15022.769,14993.029,15001.799,60,3383
2023-08-23 05:00:00,15001.869,15007.699,14957.489,14966.019,60,3381
2023-08-23 06:00:00,14966.099,14968.999,14905.709,14933.029,60,3358
2023-08-23 07:00:00,14932.979,14949.569,14907.839,14930.469,60,3371
2023-08-23 08:00:00,14929.979,15053.089,14927.269,15041.389,60,3369
2023-08-23 09:00:00,15041.317,15131.549,15030.409,15125.959,60,1333
2023-08-23 10:00:00,15125.937,15153.589,15114.409,15148.329,60,1355
2023-08-23 11:00:00,15147.969,15149.789,15115.969,15126.189,60,1349
2023-08-23 12:00:00,15125.449,15189.209,15120.759,15183.749,60,1357
2023-08-23 13:00:00,15183.797,15184.089,15132.839,15152.219,60,1376
2023-08-23 14:00:00,15152.319,15180.529,15132.749,15146.529,60,1368
2023-08-23 15:00:00,15143.569,15173.499,15141.629,15162.989,15,1357
2023-08-23 17:00:00,15283.599,15290.989,15242.359,15267.659,60,3439
2023-08-23 18:00:00,15267.229,15287.799,15265.599,15281.289,60,3375
2023-08-23 19:00:00,15281.399,15293.299,15265.319,15286.569,60,3379
2023-08-23 20:00:00,15286.109,15313.669,15273.709,15309.839,60,3363
2023-08-23 21:00:00,15309.889,15339.379,15307.089,15338.249,60,3379
2023-08-23 22:00:00,15338.179,15344.559,15328.199,15330.629,60,3389
2023-08-23 23:00:00,15330.559,15340.289,15324.219,15338.829,60,3389
2023-08-24 00:00:00,15339.049,15350.889,15330.569,15344.189,60,3381
2023-08-24 01:00:00,15344.309,15345.119,15317.259,15331.269,60,3358
2023-08-24 02:00:00,15331.249,15364.099,15314.219,15330.299,60,3347
2023-08-24 03:00:00,15330.309,15361.399,15317.529,15324.899,60,3333
2023-08-24 04:00:00,15325.389,15329.409,15285.509,15304.859,60,3359
2023-08-24 05:00:00,15304.897,15329.789,15302.139,15323.819,60,3345
2023-08-24 06:00:00,15323.509,15342.099,15306.679,15313.199,60,3377
2023-08-24 07:00:00,15312.849,15316.049,15269.759,15286.129,60,3341
2023-08-24 08:00:00,15285.869,15306.499,15133.099,15171.529,60,3361
2023-08-24 09:00:00,15171.589,15182.089,14979.059,14992.549,60,1347
2023-08-24 10:00:00,14992.879,14992.879,14897.529,14905.289,60,1351
2023-08-24 11:00:00,14905.219,14992.899,14903.059,14952.019,60,1354
2023-08-24 12:00:00,14952.119,14965.289,14914.019,14928.009,60,1358
2023-08-24 13:00:00,14928.279,14959.379,14890.129,14917.239,60,1341
2023-08-24 14:00:00,14918.049,14924.589,14812.869,14816.069,60,1357
2023-08-24 15:00:00,14816.189,14829.399,14794.689,14806.529,15,1328
2023-08-24 17:00:00,14799.299,14827.599,14797.599,14826.529,60,3407
2023-08-24 18:00:00,14825.539,14826.599,14790.249,14808.899,60,3332
2023-08-24 19:00:00,14809.329,14831.099,14807.129,14819.279,60,3365
2023-08-24 20:00:00,14819.409,14827.789,14795.539,14813.317,60,3370
2023-08-24 21:00:00,14813.489,14817.877,14791.549,14799.409,60,3335
2023-08-24 22:00:00,14799.899,14805.909,14783.219,14791.209,60,3371
2023-08-24 23:00:00,14791.309,14806.079,14790.829,14799.519,60,3355
2023-08-25 00:00:00,14800.259,14817.499,14786.719,14809.819,60,3359
2023-08-25 01:00:00,14809.629,14813.499,14742.329,14755.619,60,3362
2023-08-25 02:00:00,14755.889,14814.917,14755.619,14796.889,60,3342
2023-08-25 03:00:00,14797.399,14844.789,14796.889,14833.559,60,3344
2023-08-25 04:00:00,14833.567,14840.099,14805.149,14812.079,60,3365
2023-08-25 05:00:00,14812.047,14845.799,14809.339,14834.879,60,3354
2023-08-25 06:00:00,14835.189,14841.739,14813.009,14833.239,60,3344
2023-08-25 07:00:00,14833.619,14874.799,14829.539,14855.279,60,3369
2023-08-25 08:00:00,14855.247,14913.499,14834.739,14905.819,60,3379
2023-08-25 09:00:00,14905.099,15005.789,14714.599,14719.139,60,1363
2023-08-25 10:00:00,14719.259,14849.819,14713.589,14765.259,60,1353
2023-08-25 11:00:00,14765.229,14856.849,14762.609,14841.569,60,1340
2023-08-25 12:00:00,14841.749,14863.809,14797.639,14841.619,60,1344
2023-08-25 13:00:00,14841.309,14958.209,14835.529,14954.619,60,1353
2023-08-25 14:00:00,14955.019,14986.049,14927.619,14939.719,60,1327
2023-08-25 15:00:00,14939.759,14952.899,14928.559,14935.549,15,1337
2023-08-28 00:00:00,14948.707,14966.699,14935.009,14964.339,60,3357
